"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","02-May-2018","        670.60","        674.00","        674.00","        655.50","        661.50","        662.55","        661.79","    1745715","          1155295103.70","      43904","     696072","         39.87"
"TECHM","EQ","03-May-2018","        662.55","        662.55","        667.00","        645.90","        649.95","        652.95","        653.84","    2284475","          1493683936.70","      42277","     842669","         36.89"
"TECHM","EQ","04-May-2018","        652.95","        652.95","        665.60","        636.45","        663.00","        662.65","        655.72","    3162498","          2073712458.05","      49654","    1329299","         42.03"
"TECHM","EQ","07-May-2018","        662.65","        671.75","        675.50","        654.20","        657.10","        657.40","        663.04","    2770174","          1836736219.55","      73677","     936656","         33.81"
"TECHM","EQ","08-May-2018","        657.40","        663.00","        666.40","        651.05","        652.10","        653.35","        657.68","    1771130","          1164835671.65","      33846","     690309","         38.98"
"TECHM","EQ","09-May-2018","        653.35","        653.00","        665.75","        648.30","        656.15","        654.10","        657.68","    2193797","          1442817016.55","      49735","     925523","         42.19"
"TECHM","EQ","10-May-2018","        654.10","        656.65","        671.90","        656.65","        662.80","        663.60","        663.90","    3927593","          2607529481.75","      75202","    1593557","         40.57"
"TECHM","EQ","11-May-2018","        663.60","        663.00","        671.75","        654.20","        665.30","        666.45","        662.32","    2880596","          1907876744.05","      64933","    1438416","         49.93"
"TECHM","EQ","14-May-2018","        666.45","        661.60","        670.00","        658.25","        664.60","        667.25","        665.01","    1436196","           955083782.00","      43976","     710216","         49.45"
"TECHM","EQ","15-May-2018","        667.25","        664.60","        680.00","        663.30","        669.15","        670.65","        674.04","    2427422","          1636176857.45","      52126","     986188","         40.63"
"TECHM","EQ","16-May-2018","        670.65","        671.00","        678.70","        669.00","        674.45","        672.70","        673.67","    1690858","          1139079999.65","      36935","     594629","         35.17"
"TECHM","EQ","17-May-2018","        672.70","        679.00","        681.00","        666.30","        673.55","        675.80","        672.82","    2022339","          1360674181.45","      46756","    1071980","         53.01"
"TECHM","EQ","18-May-2018","        675.80","        679.80","        697.50","        671.25","        695.90","        692.95","        689.52","    4304706","          2968172390.35","      81034","    1809896","         42.04"
"TECHM","EQ","21-May-2018","        692.95","        692.00","        695.90","        678.25","        687.80","        685.35","        686.49","    2342450","          1608059333.95","      48816","     946086","         40.39"
"TECHM","EQ","22-May-2018","        685.35","        683.60","        690.50","        675.00","        686.45","        686.40","        682.95","    1797801","          1227809741.75","      50523","     887795","         49.38"
"TECHM","EQ","23-May-2018","        686.40","        687.00","        707.30","        683.25","        701.00","        697.45","        699.01","    3516538","          2458090567.75","      93799","    1668757","         47.45"
"TECHM","EQ","24-May-2018","        697.45","        700.95","        715.90","        695.85","        713.20","        711.35","        708.05","    5914361","          4187673569.90","      73598","    3381440","         57.17"
"TECHM","EQ","25-May-2018","        711.35","        714.95","        718.70","        696.00","        705.05","        702.75","        710.42","    3547180","          2519986452.95","      77059","    1386757","         39.09"
"TECHM","EQ","28-May-2018","        702.75","        713.95","        713.95","        662.35","        676.00","        675.25","        677.19","    8983562","          6083534128.60","     126077","    2369550","         26.38"
"TECHM","EQ","29-May-2018","        675.25","        676.05","        686.50","        673.25","        676.30","        677.85","        680.35","    2684315","          1826283469.65","      69673","     773109","         28.80"
"TECHM","EQ","30-May-2018","        677.85","        678.00","        691.25","        678.00","        685.05","        687.25","        685.17","    3744400","          2565537446.65","     118812","    1756847","         46.92"
"TECHM","EQ","31-May-2018","        687.25","        686.00","        717.80","        682.45","        709.00","        712.35","        707.84","    7789699","          5513843777.10","     147536","    3369468","         43.26"
"TECHM","EQ","01-Jun-2018","        712.35","        712.00","        721.50","        698.20","        703.00","        701.15","        712.13","    4585884","          3265761896.70","      73802","    2031397","         44.30"
"TECHM","EQ","04-Jun-2018","        701.15","        698.00","        717.00","        695.40","        697.90","        698.30","        704.85","    2864750","          2019206225.85","      72563","    1350660","         47.15"
"TECHM","EQ","05-Jun-2018","        698.30","        703.00","        714.80","        697.35","        703.00","        701.25","        705.56","    3710175","          2617764571.65","     135043","    1101223","         29.68"
"TECHM","EQ","06-Jun-2018","        701.25","        705.00","        706.50","        684.30","        695.00","        691.75","        690.45","    2793493","          1928758628.65","      99085","    1139322","         40.78"
"TECHM","EQ","07-Jun-2018","        691.75","        694.50","        703.90","        683.00","        702.50","        701.85","        693.27","    3166739","          2195393675.15","      78057","    1190746","         37.60"
"TECHM","EQ","08-Jun-2018","        701.85","        705.00","        721.30","        703.50","        706.00","        706.95","        711.65","    4572713","          3254179378.15","     109351","    1991446","         43.55"
"TECHM","EQ","11-Jun-2018","        706.95","        709.00","        721.90","        705.50","        714.25","        714.20","        714.97","    4023019","          2876355397.00","      79721","    2428690","         60.37"
"TECHM","EQ","12-Jun-2018","        714.20","        715.10","        718.65","        706.30","        710.00","        709.10","        710.96","    2200939","          1564779425.50","      58816","    1080154","         49.08"
"TECHM","EQ","13-Jun-2018","        709.10","        715.00","        715.10","        706.40","        714.20","        713.80","        712.03","    2429450","          1729844829.70","     115080","    1331662","         54.81"
"TECHM","EQ","14-Jun-2018","        713.80","        711.00","        717.90","        690.00","        698.40","        698.80","        700.31","    4483300","          3139721524.35","     100570","    2239195","         49.95"
"TECHM","EQ","15-Jun-2018","        698.80","        702.50","        712.00","        695.20","        709.50","        707.25","        704.72","    3273882","          2307168681.05","      86356","    1350401","         41.25"
"TECHM","EQ","18-Jun-2018","        707.25","        711.00","        714.15","        701.35","        709.10","        710.55","        708.93","    1693522","          1200589360.25","      45816","     689958","         40.74"
"TECHM","EQ","19-Jun-2018","        710.55","        708.95","        712.00","        694.50","        695.15","        695.75","        701.62","    2008178","          1408983042.50","      72149","    1087231","         54.14"
"TECHM","EQ","20-Jun-2018","        695.75","        699.90","        700.50","        688.30","        692.00","        690.55","        691.54","    2117024","          1464011880.40","      51901","    1147183","         54.19"
"TECHM","EQ","21-Jun-2018","        690.55","        694.70","        702.75","        682.20","        684.20","        685.30","        694.08","    2599578","          1804308501.85","      92405","     911256","         35.05"
"TECHM","EQ","22-Jun-2018","        685.30","        686.00","        692.80","        679.50","        690.20","        691.15","        686.90","    1604665","          1102238926.90","      59872","     751787","         46.85"
"TECHM","EQ","25-Jun-2018","        691.15","        692.95","        699.90","        691.00","        694.90","        696.15","        695.62","    1850829","          1287479378.50","      51512","     821497","         44.39"
"TECHM","EQ","26-Jun-2018","        696.15","        695.00","        699.90","        682.15","        689.70","        687.85","        689.94","    1687463","          1164244911.80","      65062","     805283","         47.72"
"TECHM","EQ","27-Jun-2018","        687.85","        692.00","        716.90","        690.00","        716.20","        714.25","        708.62","    5570107","          3947097822.00","     112237","    1700750","         30.53"
"TECHM","EQ","28-Jun-2018","        714.25","        716.05","        721.75","        659.25","        663.70","        664.25","        682.91","    8192199","          5594503625.45","     164867","    3045888","         37.18"
"TECHM","EQ","29-Jun-2018","        664.25","        673.90","        675.80","        634.15","        653.25","        655.45","        651.72","   10890801","          7097793242.75","     176284","    2738674","         25.15"
"TECHM","EQ","02-Jul-2018","        655.45","        657.95","        669.50","        640.00","        654.70","        657.20","        656.69","    4422723","          2904374044.80","     102523","    1405781","         31.79"
